,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
b4100,PROKKA_04082,PROKKA_02563,PROKKA_03280,PROKKA_04022,PROKKA_04281,PROKKA_02175,PROKKA_01921,PROKKA_01289,PROKKA_00296,PROKKA_03216,PROKKA_03901,PROKKA_03085,PROKKA_03763,PROKKA_00191
b2469,PROKKA_02215,PROKKA_00841,PROKKA_01259,PROKKA_02048,PROKKA_02490,PROKKA_04075,PROKKA_03742,PROKKA_04606,PROKKA_02156,PROKKA_01287,PROKKA_02849,PROKKA_01265,PROKKA_01906,PROKKA_02217
b4190,PROKKA_04223,PROKKA_02658,PROKKA_03385,PROKKA_04121,PROKKA_04381,PROKKA_02082,PROKKA_01828,PROKKA_01468,PROKKA_00194,PROKKA_03398,PROKKA_03725,PROKKA_03178,PROKKA_03964,PROKKA_00096
b1244,PROKKA_00812,PROKKA_04199,PROKKA_05119,PROKKA_00630,PROKKA_01254,PROKKA_00244,PROKKA_00304,PROKKA_03071,PROKKA_03401,PROKKA_05068,PROKKA_01264,PROKKA_04989,PROKKA_00664,PROKKA_03505
b1203,PROKKA_00762,PROKKA_04150,PROKKA_05069,PROKKA_00578,PROKKA_01208,PROKKA_00297,PROKKA_00351,PROKKA_03026,PROKKA_03451,PROKKA_05018,PROKKA_01219,PROKKA_04944,PROKKA_00616,PROKKA_03552
b3698,PROKKA_03610,PROKKA_02126,PROKKA_02802,PROKKA_03544,PROKKA_03827,PROKKA_02665,PROKKA_02399,PROKKA_00753,PROKKA_00785,PROKKA_02735,PROKKA_04162,PROKKA_02604,PROKKA_03245,PROKKA_00753
b0369,PROKKA_04861,PROKKA_03345,PROKKA_04058,PROKKA_04817,PROKKA_00195,PROKKA_01358,PROKKA_01146,PROKKA_02130,PROKKA_04285,PROKKA_04090,PROKKA_00083,PROKKA_03891,PROKKA_04606,PROKKA_04529
b1896,PROKKA_01556,PROKKA_00233,PROKKA_00565,PROKKA_01432,PROKKA_01891,PROKKA_04759,PROKKA_04383,PROKKA_03836,PROKKA_02779,PROKKA_00561,PROKKA_02091,PROKKA_00553,PROKKA_01268,PROKKA_02880
b1656,PROKKA_01300,PROKKA_04607,PROKKA_00315,PROKKA_01152,PROKKA_01633,PROKKA_05016,PROKKA_04641,PROKKA_03488,PROKKA_03027,PROKKA_00311,PROKKA_01812,PROKKA_00302,PROKKA_01021,PROKKA_03151
b2666,PROKKA_02427,PROKKA_01023,PROKKA_01479,PROKKA_02250,PROKKA_02701,PROKKA_03919,PROKKA_03567,PROKKA_05349,PROKKA_01942,PROKKA_01494,PROKKA_05660,PROKKA_01430,PROKKA_02069,PROKKA_02048
b3538,PROKKA_03421,PROKKA_01942,PROKKA_02530,PROKKA_03326,PROKKA_03630,PROKKA_02858,PROKKA_02581,PROKKA_00569,PROKKA_00960,PROKKA_02545,PROKKA_04491,PROKKA_02435,PROKKA_03033,PROKKA_00936
b4262,PROKKA_04296,PROKKA_02734,PROKKA_03463,PROKKA_04202,PROKKA_04456,PROKKA_02001,PROKKA_01750,PROKKA_01536,PROKKA_00116,PROKKA_03322,PROKKA_03642,PROKKA_03258,PROKKA_04043,PROKKA_00021
b2098,PROKKA_01859,PROKKA_00453,PROKKA_00893,PROKKA_01650,PROKKA_02141,PROKKA_04439,PROKKA_04097,PROKKA_04123,PROKKA_02504,PROKKA_00929,PROKKA_02398,PROKKA_00909,PROKKA_01557,PROKKA_02585
b1891,PROKKA_01553,PROKKA_00230,PROKKA_00562,PROKKA_01429,PROKKA_01888,PROKKA_04762,PROKKA_04386,PROKKA_03833,PROKKA_02782,PROKKA_00558,PROKKA_02088,PROKKA_00550,PROKKA_01265,PROKKA_02883
b0950,PROKKA_00456,PROKKA_03917,PROKKA_04743,PROKKA_00283,PROKKA_00914,PROKKA_00809,PROKKA_00578,PROKKA_02697,PROKKA_03737,PROKKA_04626,PROKKA_00929,PROKKA_04449,PROKKA_00255,PROKKA_03959
b3846,PROKKA_03760,PROKKA_02280,PROKKA_02971,PROKKA_03709,PROKKA_03985,PROKKA_02493,PROKKA_02233,PROKKA_00928,PROKKA_00610,PROKKA_02903,PROKKA_05832,PROKKA_02775,PROKKA_03418,PROKKA_00581
b2497,PROKKA_02244,PROKKA_00877,PROKKA_01279,PROKKA_02085,PROKKA_02525,PROKKA_04057,PROKKA_03723,PROKKA_04625,PROKKA_02137,PROKKA_01305,PROKKA_02879,PROKKA_01283,PROKKA_01924,PROKKA_02197
b2316,PROKKA_02089,PROKKA_00660,PROKKA_01122,PROKKA_01905,PROKKA_02357,PROKKA_04209,PROKKA_03871,PROKKA_04421,PROKKA_02280,PROKKA_01155,PROKKA_02697,PROKKA_01136,PROKKA_01782,PROKKA_02347
b0168,PROKKA_04601,PROKKA_03096,PROKKA_03852,PROKKA_04536,PROKKA_04784,PROKKA_01673,PROKKA_01382,PROKKA_01892,PROKKA_04547,PROKKA_03841,PROKKA_03233,PROKKA_03590,PROKKA_04350,PROKKA_04721
b1480,PROKKA_01081,PROKKA_04420,PROKKA_00189,PROKKA_00901,PROKKA_01470,PROKKA_00040,PROKKA_00035,PROKKA_03358,PROKKA_03146,PROKKA_00175,PROKKA_01553,PROKKA_00111,PROKKA_00854,PROKKA_03302
b4170,PROKKA_04203,PROKKA_02638,PROKKA_03365,PROKKA_04100,PROKKA_04355,PROKKA_02102,PROKKA_01848,PROKKA_01442,PROKKA_00215,PROKKA_03418,PROKKA_03748,PROKKA_03158,PROKKA_03944,PROKKA_00117
b2876,PROKKA_02670,PROKKA_01271,PROKKA_01723,PROKKA_02513,PROKKA_02928,PROKKA_03677,PROKKA_03322,PROKKA_05103,PROKKA_01683,PROKKA_01724,PROKKA_05390,PROKKA_01678,PROKKA_02303,PROKKA_01787
b2558,PROKKA_02319,PROKKA_00944,PROKKA_01346,PROKKA_02164,PROKKA_02596,PROKKA_03990,PROKKA_03656,PROKKA_04712,PROKKA_02068,PROKKA_01423,PROKKA_02961,PROKKA_01353,PROKKA_01992,PROKKA_02129
b2827,PROKKA_02601,PROKKA_01190,PROKKA_01689,PROKKA_02446,PROKKA_02865,PROKKA_03712,PROKKA_03357,PROKKA_05138,PROKKA_01717,PROKKA_01690,PROKKA_05468,PROKKA_01643,PROKKA_02268,PROKKA_01824
b1638,PROKKA_01281,PROKKA_04589,PROKKA_00298,PROKKA_01132,PROKKA_01614,PROKKA_05033,PROKKA_04658,PROKKA_03471,PROKKA_03044,PROKKA_00293,PROKKA_01789,PROKKA_00285,PROKKA_01004,PROKKA_03169
b2840,PROKKA_02617,PROKKA_01206,PROKKA_01705,PROKKA_02462,PROKKA_02881,PROKKA_03696,PROKKA_03340,PROKKA_05121,PROKKA_01701,PROKKA_01706,PROKKA_05452,PROKKA_01659,PROKKA_02284,PROKKA_01807
b3598,PROKKA_03487,PROKKA_02015,PROKKA_02596,PROKKA_03406,PROKKA_03702,PROKKA_02793,PROKKA_02508,PROKKA_00644,PROKKA_00893,PROKKA_02609,PROKKA_04399,PROKKA_02496,PROKKA_03093,PROKKA_00875
b1473,PROKKA_01070,PROKKA_04411,PROKKA_00179,PROKKA_00892,PROKKA_01461,PROKKA_00051,PROKKA_00047,PROKKA_03347,PROKKA_03157,PROKKA_00163,PROKKA_01544,PROKKA_00100,PROKKA_00843,PROKKA_03313
b0113,PROKKA_04546,PROKKA_03042,PROKKA_03792,PROKKA_04478,PROKKA_04681,PROKKA_01729,PROKKA_01438,PROKKA_01836,PROKKA_04606,PROKKA_03786,PROKKA_03299,PROKKA_03534,PROKKA_04296,PROKKA_04779
b0868,PROKKA_00378,PROKKA_03833,PROKKA_04553,PROKKA_00157,PROKKA_00770,PROKKA_00886,PROKKA_00660,PROKKA_02619,PROKKA_03814,PROKKA_04550,PROKKA_00778,PROKKA_04364,PROKKA_00148,PROKKA_04049
b1477,PROKKA_01076,PROKKA_04417,PROKKA_00185,PROKKA_00898,PROKKA_01467,PROKKA_00045,PROKKA_00041,PROKKA_03353,PROKKA_03151,PROKKA_00169,PROKKA_01550,PROKKA_00106,PROKKA_00849,PROKKA_03307
b1654,PROKKA_01298,PROKKA_04605,PROKKA_00313,PROKKA_01150,PROKKA_01631,PROKKA_05018,PROKKA_04643,PROKKA_03486,PROKKA_03029,PROKKA_00309,PROKKA_01810,PROKKA_00300,PROKKA_01019,PROKKA_03153
b0456,PROKKA_04948,PROKKA_03431,PROKKA_04143,PROKKA_04910,PROKKA_00286,PROKKA_01268,PROKKA_01057,PROKKA_02217,PROKKA_04200,PROKKA_04175,PROKKA_00176,PROKKA_03981,PROKKA_04689,PROKKA_04441
b4152,PROKKA_04186,PROKKA_02620,PROKKA_03347,PROKKA_04084,PROKKA_04339,PROKKA_02118,PROKKA_01865,PROKKA_01424,PROKKA_00232,PROKKA_03434,PROKKA_03766,PROKKA_03141,PROKKA_03928,PROKKA_00133
b2340,PROKKA_02112,PROKKA_00685,PROKKA_01146,PROKKA_01931,PROKKA_02380,PROKKA_04183,PROKKA_03847,PROKKA_04498,PROKKA_02257,PROKKA_01180,PROKKA_02726,PROKKA_01160,PROKKA_01805,PROKKA_02323
b2531,PROKKA_02289,PROKKA_00915,PROKKA_01322,PROKKA_02126,PROKKA_02566,PROKKA_04013,PROKKA_03680,PROKKA_04687,PROKKA_02095,PROKKA_01399,PROKKA_02928,PROKKA_01325,PROKKA_01969,PROKKA_02155
b1006,PROKKA_00505,PROKKA_03974,PROKKA_04792,PROKKA_00347,PROKKA_00975,PROKKA_00759,PROKKA_00529,PROKKA_02746,PROKKA_03688,PROKKA_04675,PROKKA_00981,PROKKA_04499,PROKKA_00304,PROKKA_03912
b2522,PROKKA_02279,PROKKA_00905,PROKKA_01312,PROKKA_02116,PROKKA_02555,PROKKA_04023,PROKKA_03690,PROKKA_04677,PROKKA_02105,PROKKA_01389,PROKKA_02918,PROKKA_01315,PROKKA_01959,PROKKA_02165
b3223,PROKKA_03073,PROKKA_01637,PROKKA_02195,PROKKA_02988,PROKKA_03315,PROKKA_03210,PROKKA_02922,PROKKA_00225,PROKKA_01298,PROKKA_02198,PROKKA_04849,PROKKA_02082,PROKKA_02694,PROKKA_01284
b4116,PROKKA_04099,PROKKA_02580,PROKKA_03299,PROKKA_04043,PROKKA_04298,PROKKA_02158,PROKKA_01904,PROKKA_01306,PROKKA_00279,PROKKA_03233,PROKKA_03883,PROKKA_03102,PROKKA_03780,PROKKA_00173
b1843,PROKKA_01501,PROKKA_00164,PROKKA_00509,PROKKA_01377,PROKKA_01831,PROKKA_04814,PROKKA_04436,PROKKA_03691,PROKKA_02833,PROKKA_00506,PROKKA_02029,PROKKA_00500,PROKKA_01216,PROKKA_02936
b0910,PROKKA_00421,PROKKA_03877,PROKKA_04710,PROKKA_00239,PROKKA_00870,PROKKA_00843,PROKKA_00616,PROKKA_02663,PROKKA_03771,PROKKA_04593,PROKKA_00883,PROKKA_04415,PROKKA_00220,PROKKA_03993
b4053,PROKKA_04036,PROKKA_02517,PROKKA_03209,PROKKA_03969,PROKKA_04234,PROKKA_02245,PROKKA_01985,PROKKA_01220,PROKKA_00367,PROKKA_03146,PROKKA_03962,PROKKA_03016,PROKKA_03694,PROKKA_00268
b0737,PROKKA_00231,PROKKA_03695,PROKKA_04420,PROKKA_05220,PROKKA_00625,PROKKA_01020,PROKKA_00797,PROKKA_02480,PROKKA_03947,PROKKA_04416,PROKKA_00496,PROKKA_04227,PROKKA_04933,PROKKA_04185
b0728,PROKKA_00212,PROKKA_03685,PROKKA_04409,PROKKA_05207,PROKKA_00615,PROKKA_01029,PROKKA_00806,PROKKA_02471,PROKKA_03958,PROKKA_04407,PROKKA_00461,PROKKA_04218,PROKKA_04925,PROKKA_04195
b2103,PROKKA_01864,PROKKA_00458,PROKKA_00898,PROKKA_01656,PROKKA_02146,PROKKA_04434,PROKKA_04092,PROKKA_04130,PROKKA_02499,PROKKA_00934,PROKKA_02403,PROKKA_00914,PROKKA_01562,PROKKA_02579
b3795,PROKKA_03708,PROKKA_02229,PROKKA_02898,PROKKA_03652,PROKKA_03931,PROKKA_02571,PROKKA_02299,PROKKA_00849,PROKKA_00684,PROKKA_02828,PROKKA_05753,PROKKA_02704,PROKKA_03341,PROKKA_00657
b2258,PROKKA_02035,PROKKA_00607,PROKKA_01067,PROKKA_01847,PROKKA_02301,PROKKA_04263,PROKKA_03924,PROKKA_04365,PROKKA_02336,PROKKA_01100,PROKKA_02631,PROKKA_01081,PROKKA_01726,PROKKA_02407
b4596,PROKKA_00925,PROKKA_04243,PROKKA_00049,PROKKA_00681,PROKKA_01302,PROKKA_00200,PROKKA_00184,PROKKA_03204,PROKKA_03358,PROKKA_00027,PROKKA_01314,PROKKA_05033,PROKKA_00709,PROKKA_03459
b0755,PROKKA_00249,PROKKA_03713,PROKKA_04438,PROKKA_00014,PROKKA_00643,PROKKA_01001,PROKKA_00778,PROKKA_02498,PROKKA_03929,PROKKA_04434,PROKKA_00517,PROKKA_04245,PROKKA_04949,PROKKA_04166
b3425,PROKKA_03259,PROKKA_01823,PROKKA_02402,PROKKA_03188,PROKKA_03509,PROKKA_02998,PROKKA_02714,PROKKA_00438,PROKKA_01092,PROKKA_02411,PROKKA_04628,PROKKA_02294,PROKKA_02901,PROKKA_01068
b2297,PROKKA_02070,PROKKA_00641,PROKKA_01103,PROKKA_01885,PROKKA_02338,PROKKA_04228,PROKKA_03889,PROKKA_04400,PROKKA_02298,PROKKA_01135,PROKKA_02677,PROKKA_01117,PROKKA_01763,PROKKA_02370
b2707,PROKKA_02472,PROKKA_01065,PROKKA_01523,PROKKA_02293,PROKKA_02743,PROKKA_03868,PROKKA_03522,PROKKA_05304,PROKKA_01899,PROKKA_01542,PROKKA_05614,PROKKA_01475,PROKKA_02114,PROKKA_02002
b2418,PROKKA_02174,PROKKA_00800,PROKKA_01220,PROKKA_02003,PROKKA_02449,PROKKA_04115,PROKKA_03781,PROKKA_04566,PROKKA_02195,PROKKA_01248,PROKKA_02804,PROKKA_01225,PROKKA_01867,PROKKA_02257
b2290,PROKKA_02063,PROKKA_00634,PROKKA_01096,PROKKA_01876,PROKKA_02331,PROKKA_04235,PROKKA_03896,PROKKA_04393,PROKKA_02305,PROKKA_01128,PROKKA_02669,PROKKA_01110,PROKKA_01756,PROKKA_02377
b2517,PROKKA_02272,PROKKA_00899,PROKKA_01305,PROKKA_02109,PROKKA_02548,PROKKA_04029,PROKKA_03696,PROKKA_04671,PROKKA_02111,PROKKA_01382,PROKKA_02909,PROKKA_01309,PROKKA_01953,PROKKA_02171
b1861,PROKKA_01523,PROKKA_00186,PROKKA_00531,PROKKA_01398,PROKKA_01853,PROKKA_04793,PROKKA_04416,PROKKA_03711,PROKKA_02813,PROKKA_00527,PROKKA_02054,PROKKA_00520,PROKKA_01235,PROKKA_02915
b3207,PROKKA_03062,PROKKA_01625,PROKKA_02184,PROKKA_02976,PROKKA_03304,PROKKA_03221,PROKKA_02933,PROKKA_00215,PROKKA_01309,PROKKA_02188,PROKKA_04862,PROKKA_02070,PROKKA_02684,PROKKA_01296
b0935,PROKKA_00448,PROKKA_03902,PROKKA_04735,PROKKA_00268,PROKKA_00898,PROKKA_00817,PROKKA_00586,PROKKA_02688,PROKKA_03745,PROKKA_04618,PROKKA_00911,PROKKA_04441,PROKKA_00247,PROKKA_03968
b0674,PROKKA_00166,PROKKA_03631,PROKKA_04348,PROKKA_05151,PROKKA_00558,PROKKA_01082,PROKKA_00870,PROKKA_02417,PROKKA_04009,PROKKA_04356,PROKKA_00401,PROKKA_04165,PROKKA_04874,PROKKA_04246
b3549,PROKKA_03438,PROKKA_01966,PROKKA_02547,PROKKA_03346,PROKKA_03644,PROKKA_02842,PROKKA_02556,PROKKA_00587,PROKKA_00942,PROKKA_02561,PROKKA_04468,PROKKA_02449,PROKKA_03047,PROKKA_00923
b1930,PROKKA_01589,PROKKA_00266,PROKKA_00662,PROKKA_01465,PROKKA_01932,PROKKA_04726,PROKKA_04349,PROKKA_03870,PROKKA_02745,PROKKA_00594,PROKKA_02127,PROKKA_00586,PROKKA_01302,PROKKA_02846
b3393,PROKKA_03227,PROKKA_01789,PROKKA_02371,PROKKA_03154,PROKKA_03475,PROKKA_03032,PROKKA_02747,PROKKA_00405,PROKKA_01123,PROKKA_02377,PROKKA_04669,PROKKA_02261,PROKKA_02870,PROKKA_01102
b0802,PROKKA_00298,PROKKA_03764,PROKKA_04486,PROKKA_00064,PROKKA_00698,PROKKA_00951,PROKKA_00728,PROKKA_02551,PROKKA_03881,PROKKA_04484,PROKKA_00571,PROKKA_04298,PROKKA_00036,PROKKA_04115
b0420,PROKKA_04911,PROKKA_03390,PROKKA_04105,PROKKA_04868,PROKKA_00246,PROKKA_01305,PROKKA_01097,PROKKA_02177,PROKKA_04237,PROKKA_04138,PROKKA_00137,PROKKA_03940,PROKKA_04652,PROKKA_04479
b0413,PROKKA_04903,PROKKA_03383,PROKKA_04097,PROKKA_04861,PROKKA_00239,PROKKA_01314,PROKKA_01104,PROKKA_02170,PROKKA_04245,PROKKA_04131,PROKKA_00129,PROKKA_03933,PROKKA_04645,PROKKA_04486
b1842,PROKKA_01500,PROKKA_00163,PROKKA_00508,PROKKA_01376,PROKKA_01830,PROKKA_04815,PROKKA_04437,PROKKA_03690,PROKKA_02834,PROKKA_00505,PROKKA_02028,PROKKA_00499,PROKKA_01215,PROKKA_02937
b4093,PROKKA_04075,PROKKA_02556,PROKKA_03273,PROKKA_04013,PROKKA_04274,PROKKA_02182,PROKKA_01928,PROKKA_01282,PROKKA_00303,PROKKA_03209,PROKKA_03908,PROKKA_03078,PROKKA_03756,PROKKA_00198
b4483,PROKKA_03755,PROKKA_02275,PROKKA_02966,PROKKA_03703,PROKKA_03980,PROKKA_02498,PROKKA_02238,PROKKA_00923,PROKKA_00615,PROKKA_02898,PROKKA_05827,PROKKA_02770,PROKKA_03413,PROKKA_00586
b0683,PROKKA_00175,PROKKA_03641,PROKKA_04367,PROKKA_05161,PROKKA_00568,PROKKA_01062,PROKKA_00849,PROKKA_02438,PROKKA_03990,PROKKA_04375,PROKKA_00413,PROKKA_04184,PROKKA_04893,PROKKA_04228
b0052,PROKKA_04484,PROKKA_02980,PROKKA_03721,PROKKA_04414,PROKKA_04665,PROKKA_01798,PROKKA_01503,PROKKA_01770,PROKKA_04673,PROKKA_03719,PROKKA_03365,PROKKA_03469,PROKKA_04228,PROKKA_04844
b4512,PROKKA_00093,PROKKA_03557,PROKKA_04276,PROKKA_05070,PROKKA_00481,PROKKA_01149,PROKKA_00939,PROKKA_02351,PROKKA_04082,PROKKA_04289,PROKKA_00319,PROKKA_04098,PROKKA_04807,PROKKA_04314
b1218,PROKKA_00781,PROKKA_04171,PROKKA_05086,PROKKA_00600,PROKKA_01229,PROKKA_00280,PROKKA_00333,PROKKA_03043,PROKKA_03435,PROKKA_05035,PROKKA_01237,PROKKA_04961,PROKKA_00634,PROKKA_03534
b2801,PROKKA_02573,PROKKA_01162,PROKKA_01624,PROKKA_02410,PROKKA_02837,PROKKA_03769,PROKKA_03420,PROKKA_05196,PROKKA_01775,PROKKA_01638,PROKKA_05507,PROKKA_01584,PROKKA_02213,PROKKA_01883
b0878,PROKKA_00388,PROKKA_03843,PROKKA_04564,PROKKA_00168,PROKKA_00781,PROKKA_00876,PROKKA_00650,PROKKA_02629,PROKKA_03804,PROKKA_04561,PROKKA_00792,PROKKA_04374,PROKKA_00158,PROKKA_04038
b0661,PROKKA_00156,PROKKA_03622,PROKKA_04338,PROKKA_05142,PROKKA_00549,PROKKA_01091,PROKKA_00879,PROKKA_02408,PROKKA_04019,PROKKA_04347,PROKKA_00390,PROKKA_04155,PROKKA_04865,PROKKA_04255
b0432,PROKKA_04923,PROKKA_03406,PROKKA_04117,PROKKA_04884,PROKKA_00261,PROKKA_01293,PROKKA_01082,PROKKA_02192,PROKKA_04225,PROKKA_04150,PROKKA_00149,PROKKA_03954,PROKKA_04664,PROKKA_04466
b4035,PROKKA_04019,PROKKA_02498,PROKKA_03188,PROKKA_03944,PROKKA_04213,PROKKA_02269,PROKKA_02001,PROKKA_01204,PROKKA_00387,PROKKA_03124,PROKKA_03982,PROKKA_02999,PROKKA_03678,PROKKA_00361
b3437,PROKKA_03276,PROKKA_01837,PROKKA_02419,PROKKA_03203,PROKKA_03523,PROKKA_02975,PROKKA_02691,PROKKA_00461,PROKKA_01077,PROKKA_02433,PROKKA_04612,PROKKA_02317,PROKKA_02921,PROKKA_01044
b1854,PROKKA_01515,PROKKA_00179,PROKKA_00521,PROKKA_01391,PROKKA_01845,PROKKA_04801,PROKKA_04423,PROKKA_03704,PROKKA_02820,PROKKA_00519,PROKKA_02046,PROKKA_00512,PROKKA_01228,PROKKA_02922
b0410,PROKKA_04900,PROKKA_03380,PROKKA_04094,PROKKA_04858,PROKKA_00236,PROKKA_01317,PROKKA_01107,PROKKA_02167,PROKKA_04248,PROKKA_04127,PROKKA_00126,PROKKA_03930,PROKKA_04642,PROKKA_04489
b0215,PROKKA_04651,PROKKA_03148,PROKKA_03902,PROKKA_04593,PROKKA_00043,PROKKA_01620,PROKKA_01330,PROKKA_01944,PROKKA_04496,PROKKA_03895,PROKKA_03177,PROKKA_03641,PROKKA_04402,PROKKA_04671
b0177,PROKKA_04611,PROKKA_03107,PROKKA_03862,PROKKA_04546,PROKKA_04795,PROKKA_01663,PROKKA_01371,PROKKA_01903,PROKKA_04537,PROKKA_03852,PROKKA_03220,PROKKA_03601,PROKKA_04361,PROKKA_04711
b1221,PROKKA_00784,PROKKA_04174,PROKKA_05089,PROKKA_00603,PROKKA_01232,PROKKA_00277,PROKKA_00330,PROKKA_03046,PROKKA_03432,PROKKA_05038,PROKKA_01240,PROKKA_04964,PROKKA_00637,PROKKA_03531
b1208,PROKKA_00768,PROKKA_04155,PROKKA_05074,PROKKA_00584,PROKKA_01213,PROKKA_00292,PROKKA_00345,PROKKA_03031,PROKKA_03446,PROKKA_05023,PROKKA_01224,PROKKA_04950,PROKKA_00622,PROKKA_03546
b1865,PROKKA_01527,PROKKA_00190,PROKKA_00535,PROKKA_01402,PROKKA_01857,PROKKA_04789,PROKKA_04412,PROKKA_03715,PROKKA_02809,PROKKA_00531,PROKKA_02058,PROKKA_00524,PROKKA_01239,PROKKA_02911
b3700,PROKKA_03612,PROKKA_02128,PROKKA_02804,PROKKA_03548,PROKKA_03829,PROKKA_02663,PROKKA_02397,PROKKA_00755,PROKKA_00783,PROKKA_02737,PROKKA_04160,PROKKA_02606,PROKKA_03247,PROKKA_00751
b2581,PROKKA_02345,PROKKA_00968,PROKKA_01370,PROKKA_02188,PROKKA_02620,PROKKA_03966,PROKKA_03632,PROKKA_04736,PROKKA_01989,PROKKA_01447,PROKKA_02989,PROKKA_01377,PROKKA_02016,PROKKA_02104
b3491,PROKKA_03352,PROKKA_01889,PROKKA_02474,PROKKA_03271,PROKKA_03577,PROKKA_02919,PROKKA_02639,PROKKA_00510,PROKKA_01016,PROKKA_02489,PROKKA_04559,PROKKA_02378,PROKKA_02976,PROKKA_00995
b3385,PROKKA_03219,PROKKA_01781,PROKKA_02363,PROKKA_03145,PROKKA_03467,PROKKA_03040,PROKKA_02755,PROKKA_00396,PROKKA_01131,PROKKA_02369,PROKKA_04679,PROKKA_02252,PROKKA_02862,PROKKA_01110
b0708,PROKKA_00192,PROKKA_03665,PROKKA_04383,PROKKA_05187,PROKKA_00594,PROKKA_01046,PROKKA_00823,PROKKA_02453,PROKKA_03975,PROKKA_04390,PROKKA_00432,PROKKA_04201,PROKKA_04908,PROKKA_04212
b0762,PROKKA_00256,PROKKA_03721,PROKKA_04445,PROKKA_00021,PROKKA_00651,PROKKA_00994,PROKKA_00770,PROKKA_02505,PROKKA_03922,PROKKA_04442,PROKKA_00526,PROKKA_04252,PROKKA_04956,PROKKA_04159
b3701,PROKKA_03613,PROKKA_02129,PROKKA_02805,PROKKA_03549,PROKKA_03830,PROKKA_02662,PROKKA_02396,PROKKA_00756,PROKKA_00782,PROKKA_02738,PROKKA_04159,PROKKA_02607,PROKKA_03248,PROKKA_00750
b2912,PROKKA_02705,PROKKA_01307,PROKKA_01759,PROKKA_02553,PROKKA_02964,PROKKA_03637,PROKKA_03286,PROKKA_05068,PROKKA_01648,PROKKA_01759,PROKKA_05346,PROKKA_01713,PROKKA_02339,PROKKA_01750
b0463,PROKKA_04955,PROKKA_03438,PROKKA_04150,PROKKA_04918,PROKKA_00293,PROKKA_01261,PROKKA_01049,PROKKA_02224,PROKKA_04193,PROKKA_04182,PROKKA_00184,PROKKA_03988,PROKKA_04696,PROKKA_04432
b4392,PROKKA_04419,PROKKA_02915,PROKKA_03652,PROKKA_04344,PROKKA_04599,PROKKA_01866,PROKKA_01571,PROKKA_01705,PROKKA_04742,PROKKA_03653,PROKKA_03445,PROKKA_03400,PROKKA_04163,PROKKA_04910
b1482,PROKKA_01083,PROKKA_04422,PROKKA_00191,PROKKA_00903,PROKKA_01472,PROKKA_00038,PROKKA_00033,PROKKA_03360,PROKKA_03144,PROKKA_00177,PROKKA_01555,PROKKA_00113,PROKKA_00856,PROKKA_03300
b0976,PROKKA_00482,PROKKA_03943,PROKKA_04770,PROKKA_00314,PROKKA_00941,PROKKA_00781,PROKKA_00550,PROKKA_02723,PROKKA_03711,PROKKA_04652,PROKKA_00955,PROKKA_04477,PROKKA_00281,PROKKA_03933
b3647,PROKKA_03539,PROKKA_02066,PROKKA_02647,PROKKA_03467,PROKKA_03771,PROKKA_02741,PROKKA_02457,PROKKA_00694,PROKKA_00844,PROKKA_02660,PROKKA_04343,PROKKA_02548,PROKKA_03143,PROKKA_00825
b3156,PROKKA_03005,PROKKA_01569,PROKKA_02128,PROKKA_02919,PROKKA_03078,PROKKA_03277,PROKKA_02989,PROKKA_00157,PROKKA_01364,PROKKA_02133,PROKKA_04920,PROKKA_02015,PROKKA_02629,PROKKA_01354
b3868,PROKKA_03787,PROKKA_02307,PROKKA_02999,PROKKA_03737,PROKKA_04016,PROKKA_02465,PROKKA_02206,PROKKA_00957,PROKKA_00583,PROKKA_02930,PROKKA_05865,PROKKA_02804,PROKKA_03445,PROKKA_00553
b0023,PROKKA_04455,PROKKA_02950,PROKKA_03688,PROKKA_04380,PROKKA_04635,PROKKA_01832,PROKKA_01535,PROKKA_01740,PROKKA_04707,PROKKA_03687,PROKKA_03401,PROKKA_03434,PROKKA_04196,PROKKA_04877
b3731,PROKKA_03646,PROKKA_02164,PROKKA_02836,PROKKA_03585,PROKKA_03864,PROKKA_02633,PROKKA_02366,PROKKA_00785,PROKKA_00752,PROKKA_02767,PROKKA_04123,PROKKA_02636,PROKKA_03280,PROKKA_00719
b2995,PROKKA_02840,PROKKA_01409,PROKKA_01961,PROKKA_02743,PROKKA_03246,PROKKA_03450,PROKKA_03154,PROKKA_04812,PROKKA_01530,PROKKA_01964,PROKKA_05165,PROKKA_01833,PROKKA_02458,PROKKA_01538
b3606,PROKKA_03498,PROKKA_02026,PROKKA_02607,PROKKA_03418,PROKKA_03713,PROKKA_02780,PROKKA_02495,PROKKA_00655,PROKKA_00882,PROKKA_02621,PROKKA_04386,PROKKA_02507,PROKKA_03104,PROKKA_00864
b3614,PROKKA_03508,PROKKA_02034,PROKKA_02615,PROKKA_03428,PROKKA_03721,PROKKA_02772,PROKKA_02487,PROKKA_00663,PROKKA_00874,PROKKA_02629,PROKKA_04377,PROKKA_02515,PROKKA_03112,PROKKA_00856
b1190,PROKKA_00741,PROKKA_04136,PROKKA_05018,PROKKA_00563,PROKKA_01192,PROKKA_00317,PROKKA_00369,PROKKA_03008,PROKKA_03469,PROKKA_05000,PROKKA_01164,PROKKA_04925,PROKKA_00598,PROKKA_03569
